timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-29 21:32:32,"$111,029.56",,,,2.48% (24h),,18%
2025-10-29 21:33:25,"$111,051.43",,,,2.42% (24h),82%,18%
